Raz�o Social,Fundo,Segmento,Codigo
CSHG REAL ESTATE FDO INV IMOB - FII,FII HG REAL,,HGRE
CSHG RECEB�VEIS IMOBILI�RIOS FDO INV IMOB - FII,FII CSHG CRI,,HGCR
CSHG RENDA URBANA - FDO INV IMOB - FII,FII CSHG URB,,HGRU
CSHG RESIDENCIAL FDO DE INV IMOB - FII,FII CSHG RSD,,HGRS
CVPAR FUNDO DE INVESTIMENTO IMOBILI�RIO DE CRI,FII CVPAR,,CVPR
CYRELA CR�DITO - FUNDO DE INVESTIMENTO IMOBILI�RIO,FII CYRELA,,CYCR
DEL MONTE AJAX FDO INV IMOB - FII,FII DEL MONT,,DLMT
DEVANT RECEB�VEIS IMOBILI�RIOS FDO. INVEST. IMOB.,FII DEVANT,,DEVA
DIAMANTE FDO INV IMOB,FII DIAMANTE,MB,DAMT
DOVEL FDO INV IMOB,FII DOVEL,MB,DOVL
ENERGY RESORT FDO. INVEST. IMOB.,FII ENERGY,,EGYR
EQI RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOBILI�RIO,FII EQI RECE,,EQIR
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB,FII ESTOQ RJ,,ERCR
EUROPA 105 - FDO INV IMOB,FII EUROPA,,ERPA
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILI�RIO,FII EVEN II,,KEVE
EVEN PERMUTA KINEA FII - FDO INV IMOB,FII EV KINEA,,KINP
EXES FUNDO DE INVESTIMENTO IMOBILI�RIO,FII EXES,,EXES
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.,FII FL RECEB,,FLCR
FATOR VERITA FDO INV IMOB - FII,FII FATOR VE,,VRTA
FDO BRAS�LIO MACHADO DE INVESTIMENTO IMOBILI�RIO,FII BRASILIO,,BMII
FDO DE INV IMOB MAU� CAPITAL HIGH YIELD - FII,FII MAUA HY,,MCHY
FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID,FII MAUA MPD,,MMPD
FDO DE INV IMOBILI�RIO DE CRI INTEGRAL BREI,FII BREI,,IBCR
FDO DE INVEST IMOB GUARDIAN MULTIESTRAT�GIA I,FII GUARD MU,,GAME
FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO,FII BTG CRI,,BTCR
FDO INV IMOB - BTG PACTUAL METROPOLIS,FII MTRS,,MTRS
FDO INV IMOB - FII ANCAR IC,FII ANCAR IC,MB,ANCR
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL,FII ANH EDUC,,FAED
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS,FII BMBRC LC,,BMLC
FDO INV IMOB - FII BRLPROP,FII BRLPROP,,BPRP
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,FII BC FUND,,BRCR
FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI,FII EXCELLEN,,FEXC
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS,FII BC FFII,,BCFF
FDO INV IMOB - FII CAMPUS FARIA LIMA,FII CAMPUSFL,,FCFL
FDO INV IMOB - FII CENESP,FII CENESP,,CNES
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES,FII CEO CCP,,CEOC
FDO INV IMOB - FII EDIF�CIO ALMIRANTE BARROSO,FII ALMIRANT,MB,FAMB
FDO INV IMOB - FII EDIF�CIO GALERIA,FII GALERIA,,EDGA
FDO INV IMOB - FII ELDORADO,FII ELDORADO,MB,ELDO
FDO INV IMOB - FII FLORIPA SHOPPING,FII FLORIPA,,FLRP
FDO INV IMOB - FII HOSPITAL DA CRIAN�A,FII CRIANCA,,HCRI
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES,FII LOURDES,,NSLU
FDO INV IMOB - FII HOTEL MAXINVEST,FII HOTEL MX,,HTMX
FDO INV IMOB - FII MAX RETAIL,FII MAX RET,,MAXR
FDO INV IMOB - FII NOVO HORIZONTE,FII NOVOHORI,,NVHO
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER,FII D PEDRO,,PQDP
FDO INV IMOB - FII PATEO BANDEIRANTES,FII PTO BAND,,PATB
FDO INV IMOB - FII RBR DESENVOLVIMENTO,FII RBR DES,,RBRM
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE,FII RBRHGRAD,,RBRR
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,FII REC RECE,,RECR
FDO INV IMOB - FII REC RENDA IMOBILIARIA,FII REC REND,,RECT
FDO INV IMOB - FII SHOPPING JARDIM SUL,FII SHOPJSUL,,JRDM
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO,FII SHOP PDP,MB,SHDP
FDO INV IMOB - FII SIA CORPORATE,FII SIA CORP,MB,SAIC
FDO INV IMOB - FII TB OFFICE,FII TBOFFICE,,TBOF
FDO INV IMOB - FII TORRE ALMIRANTE,FII TORRE AL,,ALMI
FDO INV IMOB - FII TORRE NORTE,FII TORRE NO,,TRNT
FDO INV IMOB - FII VILA OL�MPIA CORPORATE,FII OLIMPIA,,VLOL
FDO INV IMOB - NCH EQI HIGH YIELD RECEB�VEIS IMOB,FII NCH EQI,,EQIN
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS,FII OURI FOF,,OUFF
FDO INV IMOB - OURINVEST RE I,FII WTC SP,MB,WTSP
FDO INV IMOB - REC HOTELARIA,FII REC HTL,,RECH
FDO INV IMOB - V2 PROPERTIES,FII V2 PROP,,VVPR
FDO INV IMOB - VBI LOG�STICO,FII VBI LOG,,LVBI
FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,FII BARIGUI,,BARI
FDO INV IMOB BR HOTEIS - FII,FII BRHOTEIS,MB,BRHT
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,FII ABSOLUTO,,BPFF
FDO INV IMOB BRASIL VAREJO - FII,FII B VAREJO,,BVAR
FDO INV IMOB BTG PACTUAL SHOPPINGS,FII BTG SHOP,,BPML
FDO INV IMOB BTG PACTUAL TERRAS AGR�COLAS,FII BTG TAGR,,BTRA
FDO INV IMOB CAIXA CARTEIRA IMOBILI�RIA,FII CAIXA CI,,CXCI
FDO INV IMOB CAIXA CEDAE,FII CX CEDAE,MB,CXCE
FDO INV IMOB CAIXA SEQ LOG�STICA RENDA,FII CX TRX,,CXTL
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL,FII C TEXTIL,,CTXT
FDO INV IMOB CJ - FII,FII CJ,,CJFI
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FII S F LIMA,,FLMA
FDO INV IMOB EDIF�CIO OURINVEST,FII OURINVES,MB,EDFO
FDO INV IMOB EUROPAR,FII EUROPAR,,EURO
FDO INV IMOB GENERAL SEVERIANO - FII,FII GEN SEV,MB,GESE
FDO INV IMOB GRAND PLAZA SHOPPING,FII ABC IMOB,,ABCP
FDO INV IMOB GREEN TOWERS,FII G TOWERS,,GTWR
FDO INV IMOB HABITAT I,FII HABITAT,,HBTT
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,FII H UNIMED,,HUSC
FDO INV IMOB INDUSTRIAL DO BRASIL,FII INDL BR,,FIIB
FDO INV IMOB INFRA REAL ESTATE - FII,FII INFRA RE,,FINF
FDO INV IMOB MEMORIAL OFFICE,FII MEMORIAL,,FMOF
FDO INV IMOB MERCANTIL DO BRASIL - FII,FII MERC BR,,MBRF
FDO INV IMOB MOGNO FUNDO DE FUNDOS,FII MOGNO,,MGFF
FDO INV IMOB MV9 - FII,FII MV9,,MVFI
FDO INV IMOB NESTPAR - FII,FII NESTPAR,,NPAR
FDO INV IMOB OURINVEST LOG�STICA,FII OURILOG,,OULG
FDO INV IMOB PANAMBY,FII PANAMBY,,PABY
FDO INV IMOB PEDRA NEGRA RENDA IMOB,FII P NEGRA,,FPNG
FDO INV IMOB POLO ESTOQUE II - FII,FII POLO II,,ESTQ
FDO INV IMOB POLO SHOPPING INDAIATUBA,FII POLO SHO,,VPSI
FDO INV IMOB PROJETO �GUA BRANCA,FII A BRANCA,,FPAB
FDO INV IMOB RBR CREDITO IMOB ESTRUTURADO,FII RBR PCRI,,RBRY
FDO INV IMOB RBR PROPERTIES - FII,FII RBR PROP,,RBRP
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,FII RIOB RC,,RCRB
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,FII RIOB ED,,RBED
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,FII RIOB VA,,RBVA
FDO INV IMOB RIO NEGRO - FII,FII RIONEGRO,,RNGO
FDO INV IMOB S�O FERNANDO,FII SAO FER,,SFND
FDO INV IMOB SC 401,FII SC 401,,FISC
FDO INV IMOB SCP,FII SCP,,SCPF
FDO INV IMOB SDI RIO BRAVO RENDA LOGISTICA - FII,FII SDI LOG,,SDIL
FDO INV IMOB SHOPPING P�TIO HIGIEN�POLIS,FII HIGIENOP,,SHPH
FDO INV IMOB TG ATIVO REAL,FII TG ATIVO,,TGAR
FDO INV IMOB THE ONE,FII THE ONE,,ONEF
FDO INV IMOB TOURMALET I,FII TOURMALE,,TORM
FDO INV IMOB TOURMALET II,FII TOUR II,,TOUR
FDO INV IMOB VEREDA - FII,FII VEREDA,,VERE
FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE,,FVPQ
FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA,,FIVN
FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG,,VTLT
FDO INV IMOB VOTORANTIM SECURITIES,FII VOT SEC,,VSEC
FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP,,VSHO
FDO INV IMOBILI�RIO DE UNIDADES AUT�NOMAS,FII UNIDADES,,IDFI
FDO INV. IMOB. FOF INTEGRAL BREI,FII FOF BREI,,IBFF
FDO INV. IMOB. MOGNO REAL ESTATE IMPACT DEV. FUND,FII MOGNO ID,,MGIM
FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R,,PLCR
FDO INV. IMOB. PLUS,FII PLUS,,VTPL
FDO INV. IMOB. REC LOGISTICA,FII REC LOG,,RELG
FDO INV. IMOB. VBI CRI,FII VBI CRI,,CVBI
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA,,MCCI
FDO INVEST IMOB GRAND PLAZA MALL,FII GRPLMALL,,FGPM
FDO. INV. IMOB. A - TOWN,FII A TOWN,,ATWN
FDO. INV. IMOB. �TRIO REIT RECEB�VEIS IMOBILI�RIOS,FII ATRIO,,ARRI
FDO. INV. IMOB. BTG PACTUAL AGRO LOG�STICA,FII BTG AGRO,,BTAL
FDO. INV. IMOB. CAIXA IM�VEIS CORPORATIVOS,FII CEF CORP,,CXCO
FDO. INV. IMOB. HOUSI,FII HOUSI,,HOSI
FDO. INV. IMOB. MOGNO HOTEIS,FII MOGNO HT,,MGHT
FDO. INV. IMOB. REC FUNDO DE FUNDOS,FII REC FOF,,RECX
FDO. INV. IMOB. VBI PRIME PROPERTIES,FII VBI PRI,,PVBI
FDO. INVEST. IMOB. DEVANT FOF IMOBILI�RIOS,FII DEVA FOF,,DVFF
FDO. INVEST. IMOB. MOGNO CRI HIGH GRADE,FII MOGNO HG,,MGCR
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,FII RB CFOF,,RFOF
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V,FII VOTP V,,VTPA
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII,FII VOTP XII,,VTXI
FDO.INVEST. IMOB. MULTI RENDA URBANA,FII MULT REN,,HBRH
FEDERAL HIGH YIELD FDO. INV. IMOB.,FII FED HY,,FDHY
FII IRIDIUM RECEB�VEIS IMOBILI�RIOS,FII IRIDIUM,,IRDM
FRAM CAPITAL SBCLOG FDO. INV. IMOB.,FII SBCLOG,,SBCL
FUND. INVEST. IMOB. SUCCESPAR VAREJO,FII S VAREJO,,SPVJ
FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF,,KFOF
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA,FII OU RENDA,,OURE
FUNDO DE INVESTIMENTO IMOBILI�RIO - DEVELOPMENT V1,FII DEV ONE,,LKDV
FUNDO DE INVESTIMENTO IMOBILI�RIO ATHENA I,FII ATHENA I,,FATN
FUNDO DE INVESTIMENTO IMOBILI�RIO BRL PROP II,FII BRLPROII,,BRLA
FUNDO DE INVESTIMENTO IMOBILI�RIO CAIXA AG�NCIAS,FII CAIXA AG,,CXAG
FUNDO DE INVESTIMENTO IMOBILI�RIO HBC RENDA URBANA,FII HBC REN,,HBCR
FUNDO DE INVESTIMENTO IMOBILI�RIO MINT EDUCACIONAL,FII MINT EDU,,MINT
FUNDO DE INVESTIMENTO IMOBILI�RIO RIZA TERRAX,FII RIZA TX,,RZTR
FUNDO DE INVESTIMENTO IMOBILI�RIO ROOFTOP I,FII ROOFTOPI,,ROOF
G5 CIDADE NOVA FDO. INVEST. IMOB.,FII TOUR V,,TCIN
GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.,FII GALAPAGO,,GCFF
GALAPAGOS RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB,FII GLPG CRI,,GCRI
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILI�RIO,FII GAZIT,,GZIT
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,FII GENERAL,,GSFI
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV, IMOB.,FII GEN SHOP,FIGS
GGR COVEPI RENDA FDO INV IMOB,FII GGRCOVEP,,GGRC
GLP LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO,FII GLP LOG,,GLPL
GRUPO RCFA FDO INV IMOB,FII GP RCFA,,RCFA
GTIS BRAZIL LOGISTICS FDO. INV. IMOB.,FII GTIS LG,,GTLG
GUARDIAN LOGISTICA FDO. INVEST. IMOB.,FII GUARDIAN,,GALG
HABITAT II - FDO INV IMOB,FII HABIT II,,HABT
HAZ FDO INV IMOB - FII,FII HAZ,,ATCR
HECTARE CE - FDO INV IMOB,FII HECTARE,,HCTR
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.,FII HECT DES,,HCST
HECTARE RECEB�VEIS HIGH GRADE FDO. INV. IMOB.,FII HECT CRI,,HCHG
HEDGE AAA FDO. INV. IMOB.,FII HEDGEAAA,,HAAA
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,FII HATRIUM,,ATSA
HEDGE BRASIL SHOPPING FDO INV IMOB,FII HEDGEBS,,HGBS
HEDGE LOG�STICA FDO. INV. IMOB.,FII HEDGELOG,,HLOG
HEDGE REALTY DEVELOPMENT FDO INV IMOB,FII HREALTY,,HRDF
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.,FII HEDGEREC,,HREC
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,FII HEDGEPDP,,HPDP
HEDGE TOP FOFII 3 FDO INV IMOB,FII HTOPFOF3,,HFOF
HGI CR�DITOS IMOBILI�RIOS FDO. INV. IMOB.,FII HGI CRI,,HGIC
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI,FII HSI CRI,,HSAF
HSI LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO,FII HSI LOG,,HSLG
HSI MALL FDO INV IMOB,FII HSI MALL,,HSML
HSI RENDA IMOB FDO INV IMOB,FII HSIRENDA,,HSRE
HUSI FDO INV. IMOB.,FII HUSI,,HUSI
IFI-D FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FII IFI-D,,IFID
IFI-E FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FII IFI-E,,IFIE
INTER T�TULOS IMOB. FDO INV. IMOB.,FII INTER,,BICR
IRIDIUM FUNDO DE INVESTIMENTO IMOBILI�RIO,FII IRIM,,IRIM
JBFO FOF FDO INV. IMOB.,FII JBFO FOF,,JBFO
JFDCAM FUNDO DE INVESTIMENTO IMOBILI�RIO FII,FII JFDCAM,,VJFD
JFL LIVING FDO. INV. IMOB.,FII JFL LIV,,JFLL
JPP ALLOCATION MOGNO - FDO INV IMOB,FII JPPMOGNO,,JPPA
JPP CAPITAL FDO INV IMOB - FII,FII JPP CAPI,,JPPC
JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBIL,FII JS A FIN,,JSAF
JS REAL ESTATE MULTIGEST�O - FII,FII JS REAL,,JSRE
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,FII JT PREV,,JTPR
KILIMA FIC FDO. IMOB. SUNO 30,FII KILIMA,,KISU
KINEA HIGH YIELD CRI FDO INV IMOB - FII,FII KINEA HY,,KNHY
KINEA II REAL ESTATE EQUITY FDO INV IMOB,FII KII REAL,,KNRE
KINEA �NDICES DE PRE�OS FDO INV IMOB - FII,FII KINEA IP,,KNIP
KINEA RENDA IMOBILI�RIA FDO INV IMOB - FII,FII KINEA,,KNRI
KINEA RENDIMENTOS IMOBILI�RIOS FDO INV IMOB - FII,FII KINEA RI,,KNCR
KINEA SECURITIES FDO. DE INV. IMOB. - FII,FII KINEA SC,,KNSC
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILI�RIO,FII LAGO PDR,,LPLP
LATERES FDO INV IMOB - FII,FII LATERES,MB,LATR
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,FII LEGATUS,,LASC
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.,FII LESTE PA,,LSPA
LOFT I - FDO INV IMOB,FII LOFT I,MB,LOFT
LOFT II FUNDO DE INVESTIMENTO IMOBILI�RIO,FII LOFT II,,LFTT
LOGCP INTER FDO INV IMOB,FII LGCP INT,,LGCP
LUGGO FDO. INV. IMOB.,FII LUGGO,,LUGG
MAC FDO INV IMOB,FII MAC,,DMAC
MALLS BRASIL PLURAL FDO INV IMOB,FII MALLS BP,,MALL
MAU� CAPITAL DESENV I FDO INV. IMOB.,FII MAUA DES,,MADS
MAU� CAPITAL HEDGE FUND - FDO. INVEST. IMOB.,FII MAUA HF,,MCHF
MAXI RENDA FDO INV IMOB - FII,FII MAXI REN,,MXRF
M�RITO DESENVOLVIMENTO IMOBILI�RIO I FII - FII,FII MERITO I,,MFII
MERITO FDO. A��ES IMOB. FII - FDO INV. IMOB.,FII MERITOFA,,MFAI
MMVE OPORTUNIDADES IMOBILI�RIAS FDO DE INVEST IMOB,FII MMVE OP,,MMVE
MOGNO LOG�STICA FUNDO DE INVEST. IMOBILIARIO - FII,FII MOGNO LG,,MGLG
MOGNO PROPERTIES - FDO. INVEST. IMOB.,FII MOGNO PR,,MGLC
MORE GEST�O ATIVA DE RECEB�VEIS FDO DE INV IMOB,FII MORE ATV,,MATV
MORE REAL ESTATE FOF FII FDO. INV. IMOB.,FII MORE RE,,MORE
MORE RECEB�VEIS IMOBILI�RIOS FII FDO. INV. IMOB.,FII MORE CRI,,MORC
MULTI PROPERTIES FDO INV IMOB - FII,FII MULTPROP,,PRTS
MULTI SHOPPINGS FDO INV IMOB - FII,FII MULTSHOP,,SHOP
MULTIGEST�O RENDA COMERCIAL FDO INV IMOB - FII,FII MTGESTAO,MB,DRIT
MULTIOFFICES 2 - FDO. INV. IMOB.,FII MULT OF2,,MOFF
NAVI IMOBILI�RIO TOTAL RETURN FDO. INVEST. IMOB.,FII NAVI TOT,,NAVT
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI�RIO,FII NAVI RSD,,APTO
NEWPORT LOG�STICA FDO INV. IMOB.,FII NEWPORT,,NEWL
NEWPORT RENDA URBANA FDO INV IMOB,FII NEWRU,,NEWU
NOVA I - FDO INV IMOB - FII,FII NOVA I,MB,NVIF
OPPORTUNITY FDO INV IMOB,FII OPPORTUN,MB,FTCE
OURINVEST JPP FDO INV IMOB - FII,FII OURI JPP,,OUJP
OURO VERDE DESENV IMOB I FDO INV IMOB - FII,FII OURO PRT,,ORPD
PANORAMA DESENVOLVIMENTO LOG�STICO FDO. INV. IMOB.,FII PANORAMA,,PNDL
PANORAMA PROPERTIES FDO. INVEST. IMOB.,FII PAN PROP,,PNPR
PARKING PARTNERS FDO. INVEST. IMOB.,FII PARK PAR,,VTVI
PARQUE ANHANGUERA FDO. INVEST. IMOB.,FII PARQ ANH,,PQAG
P�TRIA EDIF�CIOS CORPORATIVOS FDO INV IMOB - FII,FII PATRIA,,PATC
P�TRIA LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO,FII PATR LOG,,PATL
PERFORMA REAL ESTATE - FDO. INV. IMOB.,FII PERFORMA,,PEMA
PERSONALE I FDO INV IMOB - FII,FII PERSONAL,MB,PRSN
PLURAL LOG�STICA FDO. INV. IMOB.,FII PLURAL L,,PLOG
PLURAL RENDA URBANA FDO DE INV IMOB,FII PLUR URB,,PURB
POLO FDO INV IMOB - FII RECEB�VEIS IMOBILI�RIOS I,FII POLO I,,PLRI
POLO FDO INV IMOB - RECEB�VEIS IMOB II - FII,FII POLO CRI,,PORD
PRAZO - FUNDO DE INVESTIMENTO IMOBILI�RIO - FII,FII PRAZO,,PRZS
PRESIDENTE VARGAS FDO INV IMOB,FII P VARGAS,,PRSV
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB,FII PROLOGIS,,PBLV
QUASAR AGRO - FDO INV. IMOB.,FII QUASAR A,,QAGR
QUASAR CR�DITO IMOBILI�RIO FDO. INV. IMOB.,FII QUASAR C,,QAMI
QUATA IMOB RECEB�VEIS IMOB. - FDO. INV. IMOB.,FII QUATA,,QIRI
R CAP 1810 FUNDO DE FUNDOS - FDO. INV. IMOB.,FII RCAP FOF,,XBXO
RB CAPITAL DESENV RESID III FDO INV IMOB - FII,FII RBRESID3,,RSPD
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII,FII RBRESID2,,RBDS
RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.,FII RBRES IV,,RBIR
RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII,FII RB GSB I,,RBGS
RB CAPITAL LOG�STICO FDO. INV. IMOB.ye,FII RBCAP LG,,RBLG
RB CAPITAL OFFICE INCOME FDO INV. IMOB.,FII R INCOME,,RBCO
RB CAPITAL RECEB�VEIS IMOB. FDO. INVEST. IMOB FII,FII RBCAP RI,,RRCI
RB CAPITAL RENDA I FDO INV IMOB - FII,FII RB CAP I,MB,FIIP
RB CAPITAL RENDA II FDO INV IMOB - FII,FII RB II,,RBRD
RB CAPITAL RENDA URBANA FDO. DE INVEST. IMOB,FII RB REN,,RBRU
RB CAPITAL RENDIMENTOS IMOB FDO INV IMOB - FII,FII RB CRI,MB,RCRI
RB CAPITAL TFO SITUS FDO INV IMOB - FII,FII RB TFO,,RBTS
RBR ALPHA MULTIESTRAT�GIA REAL ESTATE FDO INV IMOB,FII RBRALPHA,,RBRF
RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB,FII RBR FEED,,RCFF
RBR LOG FUNDO DE INVESTIMENTO IMOBILI�RIO,FII RBR LOG,,RBRL
REAG MULTI ATIVOS IMOBILI�RIOS - FII,FII REAGMULT,,RMAI
